User,Search Pattern,Search Type,Start End,Start Time,End Time,Result Count,TheSaurus
mizutani,grep,Broader Term,0,2018-01-11 10:06:47 +0900,2018-01-11 10:06:47 +0900,0,0
mizutani,grep,Broader Term,1,2018-01-11 10:06:47 +0900,2018-01-11 10:06:48 +0900,98,0
mizutani,grep,Narrow Term,0,2018-01-11 10:06:53 +0900,2018-01-11 10:06:53 +0900,0,0
mizutani,grep,Narrow Term,1,2018-01-11 10:06:53 +0900,2018-01-11 10:06:54 +0900,5,1
mizutani,grep,Narrow Term,0,2018-01-11 10:07:01 +0900,2018-01-11 10:07:01 +0900,0,0
mizutani,grep,Narrow Term,1,2018-01-11 10:07:01 +0900,2018-01-11 10:07:01 +0900,0,1
mizutani,grep,Narrow Term,0,2018-01-11 10:07:03 +0900,2018-01-11 10:07:03 +0900,0,0
mizutani,grep,Narrow Term,1,2018-01-11 10:07:03 +0900,2018-01-11 10:07:03 +0900,0,1
mizutani,grep,Broader Term,0,2018-01-11 10:07:07 +0900,2018-01-11 10:07:07 +0900,0,0
mizutani,grep,Broader Term,1,2018-01-11 10:07:07 +0900,2018-01-11 10:07:07 +0900,5,1
mizutani,grep,Narrow Term,0,2018-01-11 10:07:18 +0900,2018-01-11 10:07:18 +0900,0,0
mizutani,grep,Narrow Term,1,2018-01-11 10:07:18 +0900,2018-01-11 10:07:19 +0900,0,1
mizutani,grep,search box,0,2018-01-11 10:07:44 +0900,2018-01-11 10:07:44 +0900,0,0
mizutani,grep,search box,1,2018-01-11 10:07:44 +0900,2018-01-11 10:07:44 +0900,3,0
mizutani,grep,search box,0,2018-01-11 10:14:14 +0900,2018-01-11 10:14:14 +0900,0,0
mizutani,grep,search box,1,2018-01-11 10:14:14 +0900,2018-01-11 10:14:15 +0900,24,1
mizutani,grep,search box,0,2018-01-11 11:44:29 +0900,2018-01-11 11:44:29 +0900,0,0
mizutani,grep,search box,1,2018-01-11 11:44:29 +0900,2018-01-11 11:44:31 +0900,88,1
mizutani,grep,search box,0,2018-01-11 11:45:26 +0900,2018-01-11 11:45:26 +0900,0,0
mizutani,grep,search box,1,2018-01-11 11:45:26 +0900,2018-01-11 11:45:31 +0900,360,1
mizutani,grep,search box,0,2018-01-11 11:46:46 +0900,2018-01-11 11:46:46 +0900,0,0
mizutani,grep,search box,1,2018-01-11 11:46:46 +0900,2018-01-11 11:46:46 +0900,23,1
mizutani,grep,Synonym,0,2018-01-11 11:46:55 +0900,2018-01-11 11:46:55 +0900,0,0
mizutani,grep,Synonym,1,2018-01-11 11:46:55 +0900,2018-01-11 11:46:57 +0900,88,1
mizutani,grep,search box,0,2018-01-11 13:00:20 +0900,2018-01-11 13:00:20 +0900,0,0
mizutani,grep,search box,1,2018-01-11 13:00:20 +0900,2018-01-11 13:00:20 +0900,3,0
mizutani,grep,search box,0,2018-01-11 13:00:40 +0900,2018-01-11 13:00:40 +0900,0,0
mizutani,grep,search box,1,2018-01-11 13:00:40 +0900,2018-01-11 13:00:42 +0900,89,1
mizutani,grep,Narrow Term,0,2018-01-11 13:01:18 +0900,2018-01-11 13:01:18 +0900,0,0
mizutani,grep,Narrow Term,1,2018-01-11 13:01:18 +0900,2018-01-11 13:01:18 +0900,0,0
mizutani,grep,Broader Term,0,2018-01-11 13:01:24 +0900,2018-01-11 13:01:24 +0900,0,0
mizutani,grep,Broader Term,1,2018-01-11 13:01:24 +0900,2018-01-11 13:01:24 +0900,0,1
mizutani,grep,search box,0,2018-01-11 13:01:28 +0900,2018-01-11 13:01:28 +0900,0,0
mizutani,grep,search box,1,2018-01-11 13:01:28 +0900,2018-01-11 13:01:30 +0900,89,1
mizutani,grep,Synonym,0,2018-01-11 13:01:36 +0900,2018-01-11 13:01:36 +0900,0,0
mizutani,grep,Synonym,1,2018-01-11 13:01:36 +0900,2018-01-11 13:01:37 +0900,6,1
mizutani,grep,Synonym,0,2018-01-11 13:02:35 +0900,2018-01-11 13:02:35 +0900,0,0
mizutani,grep,Synonym,1,2018-01-11 13:02:35 +0900,2018-01-11 13:02:36 +0900,2,1
mizutani,grep,Synonym,0,2018-01-11 13:02:52 +0900,2018-01-11 13:02:52 +0900,0,0
mizutani,grep,Synonym,1,2018-01-11 13:02:52 +0900,2018-01-11 13:02:55 +0900,89,1
mizutani,grep,Broader Term,0,2018-01-11 13:03:33 +0900,2018-01-11 13:03:33 +0900,0,0
mizutani,grep,Broader Term,1,2018-01-11 13:03:33 +0900,2018-01-11 13:03:33 +0900,0,1
mizutani,grep,search box,0,2018-01-11 13:03:44 +0900,2018-01-11 13:03:44 +0900,0,0
mizutani,grep,search box,1,2018-01-11 13:03:44 +0900,2018-01-11 13:03:46 +0900,52,1
mizutani,perfect-forward-backward,search box,0,2018-01-11 13:04:58 +0900,2018-01-11 13:04:58 +0900,0,0
